name,jain,vegetarian,vegan,jain_reason,vegetarian_reason,vegan_reason
bar mix,yes,yes,yes,Mixed ingredients generally plant-based spices and seasonings,Plant-based spice and seasoning blend,Plant-based spice and seasoning blend
barley,yes,yes,yes,Cereal grain - acceptable plant-based food in Jain diet,Plant-based cereal grain,Plant-based cereal grain
bee pollen,no,no,no,Bee product - involves potential harm to bees,Bee product - involves potential harm to bees,Bee product - animal derived
bee products,no,no,no,Bee products - involves potential harm to bees,Bee products - involves potential harm to bees,Bee products - animal derived
beef,no,no,no,Beef - clearly animal derived,Beef - clearly animal derived,Beef - clearly animal derived
beeswax,yes,no,no,Some Jain sects allow beeswax as it doesn't directly harm bees,Bee product - animal derived,Bee product - animal derived
beet,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
beet syrup,no,yes,yes,Made from beet roots - underground growth may harm microorganisms in Jain belief,Plant-based syrup from sugar beets,Plant-based syrup from sugar beets
beetroot,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
bell peppers,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable fruit,Plant-based vegetable fruit
berries,yes,yes,yes,Plant fruits - harvested without harming the plant,Plant-based fruits,Plant-based fruits
beta carotene,yes,yes,yes,Plant pigment - commonly derived from carrots or synthetic production,Can be plant or animal derived but commonly plant-based,Can be plant or animal derived but commonly plant-based
biotin,no,no,no,Vitamin often derived from egg yolks or liver,Vitamin often derived from egg yolks or liver,Vitamin often derived from egg yolks or liver
bitter gourd,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable fruit,Plant-based vegetable fruit
black-eyed peas,yes,yes,yes,Legume seeds - acceptable protein source in Jain diet,Plant-based legume,Plant-based legume
blood,no,no,no,Blood - clearly animal derived,Blood - clearly animal derived,Blood - clearly animal derived
blue 1,yes,yes,yes,Synthetic food dye - not derived from animals or plants requiring harm,Synthetic food coloring,Synthetic food coloring
blue 1 lake,yes,yes,yes,Synthetic food dye - not derived from animals or plants requiring harm,Synthetic food coloring,Synthetic food coloring
blue 2,yes,yes,yes,Synthetic food dye - not derived from animals or plants requiring harm,Synthetic food coloring,Synthetic food coloring
blue 2 lake,yes,yes,yes,Synthetic food dye - not derived from animals or plants requiring harm,Synthetic food coloring,Synthetic food coloring
blueberries,yes,yes,yes,Plant berries - harvested without harming the plant,Plant-based berries,Plant-based berries
boar bristles,no,no,no,Animal hair/bristles from pigs,Animal hair/bristles from pigs,Animal hair/bristles from pigs
bone char,no,no,no,Animal bone derivative,Animal bone derivative,Animal bone derivative
bone meal,no,no,no,Ground animal bones,Ground animal bones,Ground animal bones
bottle gourd,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable fruit,Plant-based vegetable fruit
brinjal,yes,yes,yes,Eggplant - fruit vegetable acceptable in Jain diet,Plant-based vegetable (eggplant),Plant-based vegetable (eggplant)
broccoli,yes,yes,yes,Flower vegetable - harvested without harming the plant,Plant-based vegetable,Plant-based vegetable
burdock root,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
butter,yes,yes,no,Dairy fat - obtained without directly killing the animal,Dairy product from cow milk,Dairy product from cow milk
buttermilk,yes,yes,no,Dairy product - obtained without directly killing the animal,Dairy product from cow milk,Dairy product from cow milk
butteroil,yes,no,no,Dairy fat from butter - acceptable in some Jain traditions,Dairy fat from butter,Dairy fat from butter
cabbage,yes,yes,yes,Leaf vegetable - harvested without harming the plant,Plant-based leafy vegetable,Plant-based leafy vegetable
cajun seasoning,no,yes,yes,"Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt","Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt","Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt"
cajun sesame sticks,no,maybe,maybe,"Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt. But stick dough may contain milk, eggs, honey, natural flovorings, lard or tallow.","Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt. But stick dough may contain milk, eggs, honey, natural flovorings, lard or tallow.","Plant-based spice blend typically made out of Paprika Garlic powder, Onion powder, Black pepper, Cayenne pepper, Oregano, Thyme, Salt. But stick dough may contain milk, eggs, honey, natural flovorings, lard or tallow."
calciferol,no,no,no,Vitamin D2/D3 often from animal sources,Vitamin D2/D3 often from animal sources,Vitamin D2/D3 often from animal sources
calcium carbonate,yes,yes,yes,Mineral compound - naturally occurring mineral not from animals,Mineral compound from limestone or synthetic,Mineral compound from limestone or synthetic
calfskin,no,no,no,Animal skin from calves,Animal skin from calves,Animal skin from calves
cane sugar,yes,yes,yes,Plant sugar from sugar cane - processed without harming sentient beings,Plant-based sugar from sugar cane,Plant-based sugar from sugar cane
canola,yes,yes,yes,Plant oil from rapeseed - acceptable in Jain diet,Plant-based oil from canola/rapeseed,Plant-based oil from canola/rapeseed
capryl betaine,no,no,no,Surfactant often derived from animal fats,Surfactant often derived from animal fats,Surfactant often derived from animal fats
caprylamine oxide,no,no,no,Amine oxide often derived from animal fats,Amine oxide often derived from animal fats,Amine oxide often derived from animal fats
caprylic acid,no,no,no,Fatty acid often from goat milk or coconut,Fatty acid often from goat milk or coconut,Fatty acid often from goat milk or coconut
caprylic triglyceride,yes,yes,yes,Often plant-derived from coconut oil - acceptable in Jain diet,Can be plant-derived from coconut oil,Can be plant-derived from coconut oil
capsicum,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable fruit (peppers),Plant-based vegetable fruit (peppers)
caramel,yes,yes,yes,Sugar-based coloring and flavoring - plant-derived,Plant-based sugar derivative,Plant-based sugar derivative
carbamide,no,no,no,Urea - found in animal urine,Urea - found in animal urine,Urea - found in animal urine
cardamom,yes,yes,yes,Plant spice from cardamom seeds - acceptable in Jain diet,Plant-based spice from seeds,Plant-based spice from seeds
carmine,no,no,no,Red dye from crushed cochineal insects,Red dye from crushed cochineal insects,Red dye from crushed cochineal insects
carminic acid,no,no,no,Acid from cochineal insects,Acid from cochineal insects,Acid from cochineal insects
carnauba wax,yes,yes,yes,Plant wax from carnauba palm leaves - no harm to plant,Plant-based wax from palm leaves,Plant-based wax from palm leaves
carotene,yes,yes,yes,Plant pigment - commonly from carrots and other vegetables,Can be plant-derived,Can be plant-derived
carrageenan,yes,yes,yes,Seaweed extract - marine plant not involving harm to sentient beings,Plant-based thickener from seaweed,Plant-based thickener from seaweed
carrot,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
casein,no,no,no,Milk protein from dairy,Milk protein from dairy,Milk protein from dairy
caseinate,no,no,no,Salt of casein from milk,Salt of casein from milk,Salt of casein from milk
cashews,yes,yes,yes,Tree nuts - plant-based protein source not involving harm,Plant-based nuts from cashew trees,Plant-based nuts from cashew trees
cashmere,no,no,no,Animal fiber from goats,Animal fiber from goats,Animal fiber from goats
cassava,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable/tuber,Plant-based root vegetable/tuber
castor,no,no,no,May refer to castoreum from beaver glands,May refer to castoreum from beaver glands,May refer to castoreum from beaver glands
castoreum,no,no,no,Secretion from beaver anal glands,Secretion from beaver anal glands,Secretion from beaver anal glands
catgut,no,no,no,Made from animal intestines,Made from animal intestines,Made from animal intestines
cauliflower,yes,yes,yes,Flower vegetable - harvested without harming the plant,Plant-based vegetable,Plant-based vegetable
celeriac,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
celery seed,yes,yes,yes,Plant seeds - acceptable spice in Jain diet,Plant-based seeds used as spice,Plant-based seeds used as spice
cera flava,no,no,no,Yellow beeswax,Yellow beeswax,Yellow beeswax
cerebrosides,no,no,no,Lipids from brain and nerve tissue,Lipids from brain and nerve tissue,Lipids from brain and nerve tissue
chana,yes,yes,yes,Legume (chickpeas) - acceptable protein source in Jain diet,Plant-based legume (chickpeas),Plant-based legume (chickpeas)
cheddar cheese,yes,yes,no,Dairy product - obtained without directly killing the animal,Dairy product from cow milk,Dairy product from cow milk
cheddar cheese blend,yes,no,no,Dairy product blend - obtained without directly killing the animal,Dairy product blend,Dairy product blend
cheese,yes,no,no,Dairy product - obtained without directly killing the animal,Dairy product from animal milk,Dairy product from animal milk
cheese crunchies enriched ground corn flour,yes,no,no,Contains cheese which is acceptable dairy in Jain diet,Contains cheese (dairy),Contains cheese (dairy)
cherries,yes,yes,yes,Tree fruit - harvested without harming the plant,Plant-based fruit,Plant-based fruit
chicken,no,no,no,Chicken - clearly animal derived,Chicken - clearly animal derived,Chicken - clearly animal derived
chickpeas,yes,yes,yes,Legume - acceptable protein source in Jain diet,Plant-based legume,Plant-based legume
chiken,no,no,no,Chicken misspelling - clearly animal derived,Chicken misspelling - clearly animal derived,Chicken misspelling - clearly animal derived
chinese artichoke,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based tuber vegetable,Plant-based tuber vegetable
chitosan,no,no,no,Derived from crustacean shells,Derived from crustacean shells,Derived from crustacean shells
chocolate,yes,yes,no,Cocoa-based product - plant origin acceptable in Jain diet,Plant-based cocoa product,Often contains milk
cholesterin,no,no,no,Cholesterol from animal sources,Cholesterol from animal sources,Cholesterol from animal sources
cholesterol,no,no,no,Steroid found in animal cell membranes,Steroid found in animal cell membranes,Steroid found in animal cell membranes
choline bitartrate,no,no,no,Often derived from egg lecithin,Often derived from egg lecithin,Often derived from egg lecithin
cilantro,yes,yes,yes,Herb leaves - harvested without harming the plant,Plant-based herb,Plant-based herb
cinnamon,yes,yes,yes,Plant spice from tree bark - acceptable in Jain diet,Plant-based spice from tree bark,Plant-based spice from tree bark
civet,no,no,no,Secretion from civet cat glands,Secretion from civet cat glands,Secretion from civet cat glands
clarified butter,yes,yes,no,Dairy product (ghee) - obtained without directly killing the animal,Dairy product (ghee),Dairy product (ghee)
cloves,yes,yes,yes,Plant spice from flower buds - acceptable in Jain diet,Plant-based spice from flower buds,Plant-based spice from flower buds
cochineal,no,no,no,Insects used to make red dye,Insects used to make red dye,Insects used to make red dye
cocoa butter,yes,yes,yes,Plant fat from cocoa beans - acceptable in Jain diet,Plant-based fat from cocoa beans,Plant-based fat from cocoa beans
coconut,yes,yes,yes,Tree fruit - harvested without harming the plant,Plant-based fruit,Plant-based fruit
coconut oil,yes,yes,yes,Plant oil from coconut - acceptable in Jain diet,Plant-based oil from coconut,Plant-based oil from coconut
cod liver oil,no,no,no,Fish oil from cod livers,Fish oil from cod livers,Fish oil from cod livers
coffee,yes,yes,yes,Plant-based beverage from coffee beans - acceptable in Jain diet,Plant-based beverage from coffee beans,Plant-based beverage from coffee beans
collagen,no,no,no,Protein from animal connective tissue,Protein from animal connective tissue,Protein from animal connective tissue
color,yes,yes,no,Synthetic colors generally acceptable in Jain diet,Synthetic colors typically,May contain animal-derived colorants
colors,no,no,no,May contain carmine or other animal colorants,May contain carmine or other animal colorants,May contain carmine or other animal colorants
confectioners glaze,no,no,no,Often shellac which may be acceptable to some Jains but derived from lac insects,Shellac from lac insects,Shellac from lac insects
coriander,yes,yes,yes,Plant spice from coriander seeds - acceptable in Jain diet,Plant-based spice from seeds,Plant-based spice from seeds
coriander leaves,yes,yes,yes,Herb leaves - harvested without harming the plant,Plant-based herb leaves,Plant-based herb leaves
corn,yes,yes,yes,Cereal grain - acceptable plant-based food in Jain diet,Plant-based cereal grain,Plant-based cereal grain
corn syrup,yes,yes,yes,Plant-derived sweetener from corn - acceptable in Jain diet,Plant-based sweetener from corn,Plant-based sweetener from corn
corn syrup solids,yes,yes,yes,Plant-derived sweetener solids from corn - acceptable in Jain diet,Plant-based sweetener from corn,Plant-based sweetener from corn
cornstarch,yes,yes,yes,Plant starch from corn - acceptable in Jain diet,Plant-based starch from corn,Plant-based starch from corn
cornstarch less than 1% of corn syrup,yes,yes,yes,Plant-derived ingredients from corn - acceptable in Jain diet,Plant-based ingredients from corn,Plant-based ingredients from corn
corticosteroid,no,no,no,Hormone often from animal adrenal glands,Hormone often from animal adrenal glands,Hormone often from animal adrenal glands
cortisone,no,no,no,Hormone from animal adrenal cortex,Hormone from animal adrenal cortex,Hormone from animal adrenal cortex
cottage cheese,yes,yes,no,Dairy product - obtained without directly killing the animal,Dairy product from cow milk,Dairy product from cow milk
cream,yes,yes,no,Dairy product - obtained without directly killing the animal,Dairy product from cow milk,Dairy product from cow milk
cucumber,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable fruit,Plant-based vegetable fruit
cultures,yes,yes,yes,Bacterial cultures - microorganisms used in fermentation acceptable in Jain diet,Bacterial cultures for fermentation,Bacterial cultures for fermentation
cumin,yes,yes,yes,Plant spice from cumin seeds - acceptable in Jain diet,Plant-based spice from seeds,Plant-based spice from seeds
curd,yes,yes,no,Dairy product - obtained without directly killing the animal,Dairy product from milk,Dairy product from milk
curry leaves,yes,yes,yes,Herb leaves - harvested without harming the plant,Plant-based herb leaves,Plant-based herb leaves
curry powder,yes,yes,yes,Plant spice blend - acceptable in Jain diet,Plant-based spice blend,Plant-based spice blend
cysteine,no,no,no,Amino acid often from hair and feathers,Amino acid often from hair and feathers,Amino acid often from hair and feathers
cystine,no,no,no,Amino acid dimer often from animal sources,Amino acid dimer often from animal sources,Amino acid dimer often from animal sources
daikon,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based root vegetable,Plant-based root vegetable
dark chocolate,yes,yes,no,Cocoa-based product - plant origin acceptable in Jain diet,Plant-based cocoa product,Often contains milk
date,yes,yes,yes,Tree fruit - harvested without harming the plant,Plant-based fruit,Plant-based fruit
dates,yes,yes,yes,Tree fruits - harvested without harming the plant,Plant-based fruits,Plant-based fruits
dehydrated parsley,yes,yes,yes,Dried herb - processed plant acceptable in Jain diet,Plant-based dried herb,Plant-based dried herb
dexpanthenol,no,no,no,Vitamin B5 derivative often synthetic or animal-derived,Vitamin B5 derivative often synthetic or animal-derived,Vitamin B5 derivative often synthetic or animal-derived
dextrin,yes,yes,yes,Plant starch derivative - typically from corn or potato acceptable in Jain diet,Plant-based starch derivative,Plant-based starch derivative
dhania,yes,yes,yes,Coriander - plant spice acceptable in Jain diet,Plant-based spice (coriander),Plant-based spice (coriander)
diglycerides,no,no,no,Often derived from animal fats though can be plant-based,Often derived from animal fats,Often derived from animal fats
dimethyl stearamine,no,no,no,Derived from stearic acid (often animal fat),Derived from stearic acid (often animal fat),Derived from stearic acid (often animal fat)
disodium phosphate,yes,yes,yes,Mineral salt compound - not from animals or plants requiring harm,Mineral salt compound,Mineral salt compound
distilled white vinegar,yes,yes,yes,Plant-based fermented product - acceptable in Jain diet,Plant-based fermented product,Plant-based fermented product
dour cream,no,yes,no,Dairy product (sour cream) - contains animal products but obtained without killing,Dairy product (sour cream),Dairy product (sour cream)
down,no,no,no,Feathers from birds,Feathers from birds,Feathers from birds
dried ginger,yes,yes,yes,Dried plant rhizome - acceptable spice in Jain diet,Plant-based dried spice,Plant-based dried spice
dried potatoes,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based dried root vegetable,Plant-based dried root vegetable
duodenum substances,no,no,no,From animal intestinal lining,From animal intestinal lining,From animal intestinal lining
dyes,no,no,no,May contain animal-derived colorants,May contain animal-derived colorants,May contain animal-derived colorants
egg,no,no,no,Potential life - not acceptable in Jain diet,Animal product (chicken eggs),Animal product (chicken eggs)
egg protein,no,no,no,Protein from eggs,Protein from eggs,Protein from eggs
egg whites,no,no,no,Egg component - potential life not acceptable in Jain diet,Egg component,Egg component
eggplant,yes,yes,yes,Fruit vegetable - harvested without harming the plant,Plant-based vegetable,Plant-based vegetable
eggs,no,no,no,Potential life - not acceptable in Jain diet,Animal product (chicken eggs),Animal product (chicken eggs)
elastin,no,no,no,Protein from animal connective tissue,Protein from animal connective tissue,Protein from animal connective tissue
elephant yam,no,yes,yes,Root vegetable - underground growth may harm microorganisms in Jain belief,Plant-based tuber vegetable,Plant-based tuber vegetable
emu oil,no,no,no,Fat from emu birds,Fat from emu birds,Fat from emu birds
enriched corn meal,yes,yes,yes,Plant-based meal from corn with added vitamins - acceptable in Jain diet,Plant-based corn meal with vitamins,Plant-based corn meal with vitamins
enzymes,no,no,no,Often derived from animal sources though some plant-based exist,Often derived from animal sources,Often derived from animal sources
ergocalciferol,no,no,no,Vitamin D2 often from animal sources,Vitamin D2 often from animal sources,Vitamin D2 often from animal sources
ergosterol,no,no,no,Steroid often from animal sources,Steroid often from animal sources,Steroid often from animal sources
estradiol,no,no,no,Hormone from animal sources,Hormone from animal sources,Hormone from animal sources
estrogen,no,no,no,Hormone from animal sources,Hormone from animal sources,Hormone from animal sources
extracts of oregano,yes,yes,yes,Plant herb extract - acceptable in Jain diet,Plant-based herb extract,Plant-based herb extract
fats,no,no,no,Often animal-derived fats,Often animal-derived fats,Often animal-derived fats
fatty acids,no,no,no,Often derived from animal fats,Often derived from animal fats,Often derived from animal fats
fd&c colors,no,no,no,May contain animal-derived colorants,May contain animal-derived colorants,May contain animal-derived colorants
feathers,no,no,no,Bird feathers - clearly animal derived,Bird feathers - clearly animal derived,Bird feathers - clearly animal derived
fennel,no,yes,yes,Root/bulb vegetable - underground parts may harm microorganisms in Jain belief,Plant-based vegetable,Plant-based vegetable
fennel bulb,no,yes,yes,Root/bulb vegetable - underground parts may harm microorganisms in Jain belief,Plant-based bulb vegetable,Plant-based bulb vegetable
fenugreek leaves,yes,yes,yes,Herb leaves - harvested without harming the plant,Plant-based herb leaves,Plant-based herb leaves
fish liver oil,no,no,no,Oil from fish livers,Oil from fish livers,Oil from fish livers
fish oil,no,no,no,Oil from fish,Oil from fish,Oil from fish
fish scales,no,no,no,Scales from fish,Scales from fish,Scales from fish
flavors,no,no,no,May contain animal-derived ingredients depending on source,May contain animal-derived flavoring,May contain animal-derived flavoring
flaxseed,yes,yes,yes,Plant seeds - acceptable source of omega fatty acids in Jain diet,Plant-based seeds,Plant-based seeds
fructose,yes,yes,yes,Plant-derived sugar - acceptable sweetener in Jain diet,Plant-based sugar,Plant-based sugar
fruit juice,yes,yes,yes,Plant-based beverage - acceptable in Jain diet,Plant-based juice,Plant-based juice
fur,no,no,no,Animal fur - clearly animal derived,Animal fur - clearly animal derived,Animal fur - clearly animal derived
galangal,no,yes,yes,Root rhizome - underground growth may harm microorganisms in Jain belief,Plant-based rhizome spice,Plant-based rhizome spice
garlic,no,yes,yes,Root bulb - underground growth may harm microorganisms in Jain belief,Plant-based bulb vegetable,Plant-based bulb vegetable
gel,no,no,no,Often contains gelatin from animals,Often contains gelatin from animals,Often contains gelatin from animals
gelatin,no,no,no,Animal protein from bones/skin/connective tissue - not acceptable in Jain diet,Derived from animal bones/skin/connective tissue,Derived from animal bones/skin/connective tissue
ghee,yes,yes,no,Clarified butter - dairy product obtained without directly killing animal,Clarified butter from dairy,Clarified butter from dairy
ginger,no,yes,yes,Root rhizome - underground growth may harm microorganisms in Jain belief,Plant-based rhizome spice,Plant-based rhizome spice
ginger powder,yes,yes,yes,Dried plant rhizome - processed acceptable in some Jain interpretations,Plant-based dried spice,Plant-based dried spice
glucose tyrosinase,no,no,no,Enzyme often from animal sources,Enzyme often from animal sources,Enzyme often from animal sources
glycerides,no,no,no,Often derived from animal fats,Often derived from animal fats,Often derived from animal fats
glycerin,yes,yes,no,Can be plant-derived but often animal-derived - acceptable if plant sourced,Can be plant or animal derived; often animal,Can be plant or animal derived; often animal
glycerine,yes,yes,no,Plant-based humectant derived from vegetable oils,Plant-based humectant derived from vegetable oils,May be derived from animal fats or contain animal-derived processing aids
glycerol,maybe,maybe,no,Can be plant or animal-derived - source verification needed,Can be plant or animal-derived - source verification needed,Often contains animal-derived components or processing aids
glyceryls,maybe,maybe,no,Can be plant or animal-derived - source verification needed,Can be plant or animal-derived - source verification needed,Often contains animal-derived components
glycreth-26,maybe,maybe,no,Synthetic compound that may use animal-derived starting materials,Synthetic compound that may use animal-derived starting materials,Manufacturing process may involve animal-derived components
grapes,yes,yes,yes,Fresh fruit - plant-based and naturally occurring,Fresh fruit - plant-based and naturally occurring,Fresh fruit - plant-based and naturally occurring
green chilies,yes,yes,yes,Plant-based vegetable - naturally occurring spice,Plant-based vegetable - naturally occurring spice,Plant-based vegetable - naturally occurring spice
green tea,yes,yes,yes,Plant-based beverage from Camellia sinensis leaves,Plant-based beverage from Camellia sinensis leaves,Plant-based beverage from Camellia sinensis leaves
groundnut oil,yes,yes,yes,Plant-based oil extracted from peanuts,Plant-based oil extracted from peanuts,Plant-based oil extracted from peanuts
guanine,maybe,maybe,no,Can be synthetic or derived from fish scales - source verification needed,Can be synthetic or derived from fish scales - source verification needed,Often derived from fish scales or other animal sources
guava,yes,yes,yes,Fresh tropical fruit - plant-based and naturally occurring,Fresh tropical fruit - plant-based and naturally occurring,Fresh tropical fruit - plant-based and naturally occurring
gum acacia,yes,yes,yes,Plant-based gum from Acacia tree sap,Plant-based gum from Acacia tree sap,Plant-based gum from Acacia tree sap
hazelnuts,yes,yes,yes,Tree nut - plant-based and naturally occurring,May be processed in facilities with non-vegetarian items,Tree nut - plant-based and naturally occurring
hide glue,maybe,maybe,no,Animal-derived adhesive from animal hides,Animal-derived adhesive from animal hides,Made from animal collagen and hides
hing,yes,yes,yes,Plant-based spice (asafoetida) from Ferula plants,Plant-based spice (asafoetida) from Ferula plants,Plant-based spice (asafoetida) from Ferula plants
honey,maybe,maybe,no,Animal product but considered acceptable in some Jain practices,Animal product but vegetarian-acceptable in many traditions,Animal-derived product from bee secretions
honey glazed pecans,yes,yes,yes,Nuts are plant-based (honey classification as above),Nuts are plant-based but honey is animal-derived,Nuts are plant-based and glaze can be plant-based alternative
honeycomb,maybe,maybe,no,Direct bee product - animal-derived structure,Direct bee product - animal-derived structure,Direct animal product from bee colonies
horsehair,maybe,maybe,no,Animal-derived material from horse manes/tails,Animal-derived material from horse manes/tails,Direct animal-derived material
horseradish,no,yes,yes,Root vegetable that grows underground - not suitable for Jain diet,Plant-based root vegetable,Plant-based root vegetable
hyaluronic acid,maybe,maybe,no,Can be synthetic or derived from animal sources,Can be synthetic or derived from animal sources,Often derived from animal connective tissues
hydrocortisone,maybe,maybe,no,Synthetic hormone that may use animal-derived precursors,Synthetic hormone that may use animal-derived precursors,Manufacturing may involve animal-derived components
hydrogenated cottonseed oil,yes,yes,yes,Plant-based oil that has been chemically processed,Plant-based oil that has been chemically processed,Plant-based oil that has been chemically processed
hydrogenated palm kernel oil,yes,yes,yes,Plant-based oil from palm kernels that has been processed,Plant-based oil from palm kernels that has been processed,Plant-based oil from palm kernels that has been processed
